Country,Code,year,Population,GDP,GDP_growth,Life_expectancy,TF
St. Vincent and the Grenadines,VCT,1961,82144,13999964.81,4.527295906,58.80968293,0
St. Vincent and the Grenadines,VCT,1962,83206,14524963.49,3.694271986,59.83921951,0
St. Vincent and the Grenadines,VCT,1963,84167,13708298.88,-6.26535839,60.78239024,0
St. Vincent and the Grenadines,VCT,1964,85076,14758296.24,3.669727199,61.62114634,0
St. Vincent and the Grenadines,VCT,1965,85972,15108295.36,0.884954383,62.34746341,0
St. Vincent and the Grenadines,VCT,1966,86860,16099959.54,0,62.96982927,0
St. Vincent and the Grenadines,VCT,1967,87736,15835088.4,-9.523815733,63.5147561,0
St. Vincent and the Grenadines,VCT,1968,88615,15350000,6.509697862,64.00473171,0
St. Vincent and the Grenadines,VCT,1969,89518,16650000,2.86085627,64.44719512,0
St. Vincent and the Grenadines,VCT,1970,90457,18450000,10.74589317,64.84253659,0
St. Vincent and the Grenadines,VCT,1971,91440,20051648.11,2.96803511,65.18314634,0
St. Vincent and the Grenadines,VCT,1972,92465,27585488.22,25.83148533,65.46897561,0
St. Vincent and the Grenadines,VCT,1973,93516,30165373.24,-11.10132143,65.70404878,0
St. Vincent and the Grenadines,VCT,1974,94572,32924215.75,-8.820610141,65.90243902,0
Belize,BLZ,1961,94701,29965035.39,4.892276993,60.51278049,0
St. Vincent and the Grenadines,VCT,1975,95614,33237149.31,-7.608697388,66.08680488,0
St. Vincent and the Grenadines,VCT,1976,96639,32792487.63,10.37681363,66.27985366,0
Belize,BLZ,1962,97389,31857563,4.892658575,61.07434146,0
St. Vincent and the Grenadines,VCT,1977,97649,36537036.39,2.83613237,66.49926829,0
St. Vincent and the Grenadines,VCT,1978,98634,46599999.18,11.90371704,66.75460976,0
St. Vincent and the Grenadines,VCT,1979,99589,54511110.15,3.352125203,67.04836585,0
Belize,BLZ,1963,100166,33750090.61,4.956423171,61.64604878,0
St. Vincent and the Grenadines,VCT,1980,100506,60307406.34,2.02625696,67.37641463,0
St. Vincent and the Grenadines,VCT,1981,101378,74799998.68,6.129444183,67.7255122,0
St. Vincent and the Grenadines,VCT,1982,102202,85448146.64,4.79703122,68.07292683,0
St. Vincent and the Grenadines,VCT,1983,102985,94044442.78,4.399190472,68.40302439,0
Belize,BLZ,1964,103070,36194610.8,4.9998659,62.22482927,0
St. Vincent and the Grenadines,VCT,1984,103742,103499992.2,5.89239746,68.70729268,0
St. Vincent and the Grenadines,VCT,1985,104477,112881479.5,6.116601432,68.98234146,0
St. Vincent and the Grenadines,VCT,1986,105197,127974065.9,6.662884831,69.23236585,0
St. Vincent and the Grenadines,VCT,1987,105892,142329621.2,4.539527696,69.46507317,0
Belize,BLZ,1965,106121,40069931.54,4.930533994,62.80612195,0
St. Vincent and the Grenadines,VCT,1988,106533,164574077.1,14.6094184,69.68463415,0
St. Vincent and the Grenadines,VCT,1989,107081,177296293.2,2.492993329,69.89002439,0
